epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,36.9931,0.52021,1.69877,4.1969,1.08633,0,0.39977,0.18714,0.12073,0.11474,0.39977,0.18714,0.11942,0.11329,0.29128,0.70716,3.10391,0.97545,0,0.000518795,0.000172932,0.000518795,0.000172932,0.000518795,0.000172932,0.000518795,0.000172932
2,70.6034,0.36148,0.77279,3.15019,0.99098,0,0.49003,0.45997,0.38469,0.37749,0.49003,0.45997,0.38469,0.37759,0.17222,0.31968,1.77063,0.88161,0,0.00103962,0.000346541,0.00103962,0.000346541,0.00103962,0.000346541,0.00103962,0.000346541
3,103.44,0.29048,0.51601,2.03482,0.93311,0,0.61626,0.70604,0.6432,0.6316,0.61626,0.70604,0.6432,0.63562,0.14015,0.19994,1.09635,0.85605,0,0.00155524,0.000518415,0.00155524,0.000518415,0.00155524,0.000518415,0.00155524,0.000518415
4,136.291,0.25189,0.38483,1.48616,0.90278,0,0.75188,0.76337,0.78409,0.76073,0.75188,0.76337,0.78409,0.77151,0.14739,0.14635,0.71876,0.86149,0,0.00155457,0.000518189,0.00155457,0.000518189,0.00155457,0.000518189,0.00155457,0.000518189
5,169.097,0.23035,0.37869,1.17598,0.88257,0,0.81848,0.76712,0.88313,0.85706,0.81848,0.76712,0.88313,0.86878,0.13125,0.12928,0.6595,0.84938,0,0.00154676,0.000515585,0.00154676,0.000515585,0.00154676,0.000515585,0.00154676,0.000515585
6,201.604,0.21888,0.3065,0.95355,0.87331,0,0.88762,0.83309,0.9309,0.9085,0.88762,0.83309,0.9309,0.91959,0.1385,0.15509,0.37608,0.85593,0,0.00153894,0.000512981,0.00153894,0.000512981,0.00153894,0.000512981,0.00153894,0.000512981
7,234.42,0.21598,0.3113,0.80419,0.87677,0,0.88544,0.8322,0.89366,0.87958,0.88544,0.8322,0.89366,0.88323,0.13271,0.11795,0.49728,0.84353,0,0.00153113,0.000510378,0.00153113,0.000510378,0.00153113,0.000510378,0.00153113,0.000510378
8,266.759,0.21495,0.31596,0.72227,0.87642,0,0.90307,0.89641,0.92885,0.9155,0.90307,0.89641,0.92885,0.91875,0.12408,0.16654,0.39988,0.83878,0,0.00152332,0.000507774,0.00152332,0.000507774,0.00152332,0.000507774,0.00152332,0.000507774
9,299.324,0.19994,0.27261,0.67072,0.8692,0,0.84172,0.92711,0.966,0.95395,0.84172,0.92711,0.966,0.95914,0.12046,0.12343,0.33882,0.83844,0,0.00151551,0.00050517,0.00151551,0.00050517,0.00151551,0.00050517,0.00151551,0.00050517
10,332.053,0.20322,0.28785,0.62647,0.87514,0,0.94142,0.88404,0.97157,0.94708,0.94142,0.88404,0.97157,0.96901,0.12735,0.11711,0.29975,0.84527,0,0.0015077,0.000502567,0.0015077,0.000502567,0.0015077,0.000502567,0.0015077,0.000502567
11,364.543,0.19913,0.24548,0.56369,0.87535,0,0.93252,0.93364,0.97309,0.9477,0.93252,0.93364,0.97309,0.9667,0.12999,0.14618,0.26627,0.84292,0,0.00149989,0.000499963,0.00149989,0.000499963,0.00149989,0.000499963,0.00149989,0.000499963
12,396.984,0.19523,0.2611,0.53105,0.86578,0,0.92587,0.91717,0.97316,0.96005,0.92587,0.91717,0.97316,0.96778,0.12289,0.1353,0.32839,0.83527,0,0.00149208,0.000497359,0.00149208,0.000497359,0.00149208,0.000497359,0.00149208,0.000497359
13,429.862,0.19789,0.24469,0.49423,0.86666,0,0.85993,0.94748,0.97313,0.9577,0.85993,0.94748,0.97313,0.96873,0.11305,0.22177,0.20752,0.83802,0,0.00148427,0.000494756,0.00148427,0.000494756,0.00148427,0.000494756,0.00148427,0.000494756
14,462.816,0.1959,0.25431,0.48187,0.86716,0,0.9277,0.95713,0.97157,0.95075,0.9277,0.95713,0.97157,0.96873,0.12312,0.17418,0.32706,0.84108,0,0.00147646,0.000492152,0.00147646,0.000492152,0.00147646,0.000492152,0.00147646,0.000492152
15,495.498,0.19129,0.25402,0.44898,0.86717,0,0.88144,0.94309,0.97317,0.95444,0.88144,0.94309,0.97317,0.97038,0.11912,0.11529,0.26566,0.8375,0,0.00146864,0.000489548,0.00146864,0.000489548,0.00146864,0.000489548,0.00146864,0.000489548
16,527.896,0.18882,0.27336,0.44468,0.86806,0,0.94596,0.90177,0.97324,0.95925,0.94596,0.90177,0.97324,0.97131,0.12232,0.10666,0.21706,0.83848,0,0.00146083,0.000486945,0.00146083,0.000486945,0.00146083,0.000486945,0.00146083,0.000486945
17,560.68,0.19249,0.26934,0.42557,0.86385,0,0.89207,0.9507,0.97339,0.9605,0.89207,0.9507,0.97339,0.96944,0.12379,0.10146,0.25926,0.8414,0,0.00145302,0.000484341,0.00145302,0.000484341,0.00145302,0.000484341,0.00145302,0.000484341
18,594.874,0.18665,0.27089,0.39215,0.86494,0,0.86345,0.94338,0.97332,0.94963,0.86345,0.94338,0.97332,0.97118,0.12506,0.12138,0.25263,0.8395,0,0.00144521,0.000481737,0.00144521,0.000481737,0.00144521,0.000481737,0.00144521,0.000481737
19,627.48,0.1891,0.22227,0.39773,0.86779,0,0.93951,0.95567,0.97315,0.95166,0.93951,0.95567,0.97315,0.96794,0.12645,0.13287,0.20426,0.83996,0,0.0014374,0.000479133,0.0014374,0.000479133,0.0014374,0.000479133,0.0014374,0.000479133
20,660.1,0.18474,0.24387,0.39569,0.86589,0,0.9375,0.95241,0.97368,0.95698,0.9375,0.95241,0.97368,0.9682,0.11238,0.14474,0.20334,0.83333,0,0.00142959,0.00047653,0.00142959,0.00047653,0.00142959,0.00047653,0.00142959,0.00047653
21,692.549,0.18448,0.21763,0.36745,0.8663,0,0.92876,0.96381,0.97418,0.96204,0.92876,0.96381,0.97418,0.97224,0.10508,0.11591,0.16165,0.82575,0,0.00142178,0.000473926,0.00142178,0.000473926,0.00142178,0.000473926,0.00142178,0.000473926
